Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
TOSHIBA,i 3,U,6,intel HDGraphics,0,2 GB,15.6,HD,DDR3,8 GB,256 GB,0 GB,SSD,Plastic,Not bad ,299
DELL,i 5,U,6,intel HDGraphics,0,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,325
MSI,i 5,H,10,GTX 1650,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,750
HP,RYZEN 7,H,10,GTX 1660 TI,1,6 GB,15.6,FHD,DDR4,12 GB,512 GB,0 GB,M.2,Plastic,Very good,925
ASUS,i 5,U,8,MX 110,1,4 GB,15.6,FHD,DDR4,12 GB,256 GB,0 GB,M.2,Aluminum,Very good,480
ASUS,i 5,U,8,NVIDIA 930 M,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,470
LENOVO,i 7,H,10,GTX 1650 Ti,1,4 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,950
HP,i 7,HQ,7,GTX 1050Ti,1,4 GB,17.3,FHD,DDR4,16 GB,256 GB,2048,M.2,Plastic,Good,730
DELL,i 7,U,8,intel UHDGraphics,0,4 GB,13.3,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,490
HP,i 5,U,8,intel UHDGraphics,0,2 GB,13.3,HD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Good,340
DELL,i 7,U,6,intel UHDGraphics,0,4 GB,13.3,2K,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Very good,590
LENOVO,i 7,U,7,intel HDGraphics,0,2 GB,14.0,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,590
